#Name       Type  MB      M_BH   low    high   Method  Sigma  Dispance  M_L     ref
MilkyWay   SBbc  −17.65  1.8E6  1.5E6  2.2E6  s,p     103    0.008     1.0,K   1
N221=M32   E2    −15.83  2.5E6  2.0E6  3.0E6  s,3I    75     0.81      1.85,I  5
N224=M31   Sb    −19.00  4.5E7  2.0E7  8.5E7  s       160    0.76      5,V     2,3,4
N821       E4    −20.41  3.7E7  2.9E7  6.1E7  s,3I    209    24.1      5.8,V   6,7
N1023      SB0   −18.40  4.4E7  3.9E7  4.9E7  s,3I    205    11.4      5.0,V   8
N1068      Sb    −18.82  1.5E7  1.0E7  3.0E7  m       151    15.0      ···     9
N2778      E2    −18.59  1.4E7  0.5E7  2.2E7  s,3I    175    22.9      6.4,V   6,7
N2787      SB0   −17.28  4.1E7  3.6E7  4.5E7  g       140    7.5       ···     10
N3115      S0    −20.21  1.0E9  0.4E9  2.0E9  s       230    9.7       6.9,V   11
N3245      S0    −19.65  2.1E8  1.6E8  2.6E8  g       205    20.9      3.7,R   12
N3377      E5    −19.05  1.0E8  0.9E8  1.9E8  s,3I    145    11.2      2.7,V   6,13
N3379      E1    −19.94  1.0E8  0.5E8  1.6E8  s,3I    206    10.6      4.6,V   14
N3384      S0    −18.99  1.6E7  1.4E7  1.7E7  s,3I    143    11.6      2.8,V   6,7
N3608      E2    −19.86  1.9E8  1.3E8  2.9E8  s,3I    182    22.9      3.7,V   6,7
N4258      Sbc   −17.19  3.9E7  3.8E7  4.0E7  m,a     130    7.2       ···     15
N4261      E2    −21.09  5.2E8  4.1E8  6.2E8  g       315    31.6      5.0,V   16
N4291      E2    −19.63  3.1E8  0.8E8  3.9E8  s,3I    242    26.2      4.4,V   6,7
N4342      S0    −17.04  3.0E8  2.0E8  4.7E8  s,3I    225    15.3      6.3,I   17
N4459      S0    −19.15  7.0E7  5.7E7  8.3E7  g       186    16.1      ···     10
N4473      E5    −19.89  1.1E8  0.3E8  1.5E8  s,3I    190    15.7      6.3,V   6,7
N4486=M87  E0    −21.53  3.0E9  2.0E9  4.0E9  g       375    16.1      4.0,V   18,19
N4564      E3    −18.92  5.6E7  4.8E7  5.9E7  s,3I    162    15.0      1.9,I   6,7
N4596      SB0   −19.48  7.8E7  4.5E7  012E7  g       152    16.8      ···     10
N4649      E1    −21.30  2.0E9  1.4E9  2.4E9  s,3I    385    16.8      9.0,V   6,7
N4697      E4    −20.24  1.7E8  1.6E8  1.9E8  s,3I    177    11.7      4.8,V   6,7
N4742      E4    −18.94  1.4E7  0.9E7  1.8E7  s,3I    90     15.5      ···     20
N5845      E3    −18.72  2.4E8  1.0E8  2.8E8  s,3I    234    25.9      4.8,V   6
N6251      E2    −21.81  5.3E8  3.5E8  7.0E8  g       290    93.0      8.5,V   21
N7052      E4    −21.31  3.3E8  2.0E8  5.6E8  g       266    58.7      6.3,I   22
N7457      S0    −17.69  3.5E6  2.1E6  4.6E6  s,3I    67     13.2      3.4,V   6,7
IC1459     E3    −21.39  2.5E9  2.1E9  3.0E9  s,3I    340    29.2      3.1,I   23
